type        	size 	hullsize 	trueHullsize 	budget 	trueDiameter 	strDiameter 	diameterDiff 	relDiamDiff 	trueArea 	streamedArea 	areaDiff 	relAreaDiff 	errorModel1 	errorModel2 	errorModel3 	errorModel4
diameter 	901 	3 	901 	3 	2000.000 	1983.625 	016.375 	000.008 	3139787.087 	980941.195 	2158845.892 	000.688 	000.577 	000.333 	000.111 	000.037
area 	901 	3 	901 	3 	2000.000 	1996.449 	003.551 	000.002 	3140650.681 	880928.791 	2259721.890 	000.720 	000.577 	000.333 	000.111 	000.037
diameter 	901 	4 	901 	4 	2000.000 	1984.480 	015.520 	000.008 	3134283.754 	505385.889 	2628897.865 	000.839 	000.500 	000.250 	000.063 	000.016
area 	901 	4 	901 	4 	2000.000 	1932.538 	067.462 	000.034 	3137854.832 	1218457.392 	1919397.440 	000.612 	000.500 	000.250 	000.063 	000.016
diameter 	901 	5 	901 	5 	2000.000 	1998.948 	001.052 	000.001 	3137534.625 	1580840.262 	1556694.363 	000.496 	000.447 	000.200 	000.040 	000.008
area 	901 	5 	901 	5 	2000.000 	1915.944 	084.056 	000.042 	3141105.312 	1196585.529 	1944519.782 	000.619 	000.447 	000.200 	000.040 	000.008
diameter 	901 	6 	901 	6 	2000.000 	1999.893 	000.107 	000.000 	3139980.440 	1779032.761 	1360947.680 	000.433 	000.408 	000.167 	000.028 	000.005
area 	901 	6 	901 	6 	2000.000 	1999.597 	000.403 	000.000 	3126042.503 	1464615.728 	1661426.774 	000.531 	000.408 	000.167 	000.028 	000.005
diameter 	901 	3 	901 	3 	2000.000 	1946.379 	053.621 	000.027 	3129959.098 	70937.252 	3059021.846 	000.977 	000.577 	000.333 	000.111 	000.037
area 	901 	3 	901 	3 	2000.000 	1997.764 	002.236 	000.001 	3130882.722 	787185.529 	2343697.193 	000.749 	000.577 	000.333 	000.111 	000.037
diameter 	901 	4 	901 	4 	2000.000 	1974.209 	025.791 	000.013 	3133758.125 	474962.887 	2658795.238 	000.848 	000.500 	000.250 	000.063 	000.016
area 	901 	4 	901 	4 	2000.000 	1999.988 	000.012 	000.000 	3139688.761 	770202.350 	2369486.411 	000.755 	000.500 	000.250 	000.063 	000.016
diameter 	901 	5 	901 	5 	2000.000 	1965.761 	034.239 	000.017 	3140866.056 	1877424.036 	1263442.021 	000.402 	000.447 	000.200 	000.040 	000.008
area 	901 	5 	901 	5 	2000.000 	1999.939 	000.061 	000.000 	3134739.594 	840651.463 	2294088.131 	000.732 	000.447 	000.200 	000.040 	000.008
diameter 	901 	6 	901 	6 	2000.000 	1995.469 	004.531 	000.002 	3140083.831 	1774243.648 	1365840.183 	000.435 	000.408 	000.167 	000.028 	000.005
area 	901 	6 	901 	6 	2000.000 	1999.725 	000.275 	000.000 	3137753.527 	2065963.759 	1071789.768 	000.342 	000.408 	000.167 	000.028 	000.005
diameter 	901 	3 	901 	3 	2000.000 	1965.639 	034.361 	000.017 	3140568.179 	667430.853 	2473137.326 	000.787 	000.577 	000.333 	000.111 	000.037
area 	901 	3 	901 	3 	2000.000 	1999.010 	000.990 	000.000 	3126372.610 	571209.847 	2555162.763 	000.817 	000.577 	000.333 	000.111 	000.037
diameter 	901 	4 	901 	4 	2000.000 	1914.055 	085.945 	000.043 	3140991.310 	1263331.131 	1877660.178 	000.598 	000.500 	000.250 	000.063 	000.016
area 	901 	4 	901 	4 	2000.000 	1977.862 	022.138 	000.011 	3133607.834 	1322387.170 	1811220.664 	000.578 	000.500 	000.250 	000.063 	000.016
diameter 	901 	5 	901 	5 	2000.000 	1988.593 	011.407 	000.006 	3139493.430 	1311169.959 	1828323.472 	000.582 	000.447 	000.200 	000.040 	000.008
area 	901 	5 	901 	5 	2000.000 	1989.707 	010.293 	000.005 	3130568.209 	1493740.279 	1636827.930 	000.523 	000.447 	000.200 	000.040 	000.008
diameter 	901 	6 	901 	6 	2000.000 	1999.388 	000.612 	000.000 	3138438.974 	1960924.541 	1177514.433 	000.375 	000.408 	000.167 	000.028 	000.005
area 	901 	6 	901 	6 	2000.000 	1943.882 	056.118 	000.028 	3138588.614 	1453555.647 	1685032.967 	000.537 	000.408 	000.167 	000.028 	000.005
diameter 	1081 	3 	1081 	3 	2000.000 	1918.062 	081.938 	000.041 	3137502.611 	730164.194 	2407338.417 	000.767 	000.577 	000.333 	000.111 	000.037
area 	1081 	3 	1081 	3 	2000.000 	1763.840 	236.160 	000.118 	3137919.540 	413475.583 	2724443.958 	000.868 	000.577 	000.333 	000.111 	000.037
diameter 	1081 	4 	1081 	4 	2000.000 	1995.597 	004.403 	000.002 	3139787.917 	1296194.712 	1843593.205 	000.587 	000.500 	000.250 	000.063 	000.016
area 	1081 	4 	1081 	4 	2000.000 	1993.695 	006.305 	000.003 	3136659.762 	1351716.514 	1784943.248 	000.569 	000.500 	000.250 	000.063 	000.016
diameter 	1081 	5 	1081 	5 	2000.000 	1999.895 	000.105 	000.000 	3135785.564 	1578842.680 	1556942.883 	000.497 	000.447 	000.200 	000.040 	000.008
area 	1081 	5 	1081 	5 	2000.000 	1999.760 	000.240 	000.000 	3140371.584 	1611594.254 	1528777.330 	000.487 	000.447 	000.200 	000.040 	000.008
diameter 	1081 	6 	1081 	6 	2000.000 	1997.002 	002.998 	000.001 	3134671.548 	1825187.078 	1309484.470 	000.418 	000.408 	000.167 	000.028 	000.005
area 	1081 	6 	1081 	6 	2000.000 	1997.576 	002.424 	000.001 	3138174.074 	2040736.149 	1097437.925 	000.350 	000.408 	000.167 	000.028 	000.005
diameter 	1081 	3 	1081 	3 	2000.000 	1995.933 	004.067 	000.002 	3140518.367 	508927.808 	2631590.560 	000.838 	000.577 	000.333 	000.111 	000.037
