type        	size 	hullsize 	trueHullsize 	budget 	trueDiameter 	strDiameter 	diameterDiff 	relDiamDiff 	trueArea 	streamedArea 	areaDiff 	relAreaDiff 	errorModel1 	errorModel2 	errorModel3 	errorModel4
diameter 	1081 	6 	1081 	6 	2000.000 	1978.652 	021.348 	000.011 	3139181.824 	1823186.789 	1315995.035 	000.419 	000.408 	000.167 	000.028 	000.005
area 	1081 	6 	1081 	6 	2000.000 	1982.280 	017.720 	000.009 	3139779.500 	1903498.418 	1236281.082 	000.394 	000.408 	000.167 	000.028 	000.005
diameter 	1081 	3 	1081 	3 	2000.000 	1939.923 	060.077 	000.030 	3132034.859 	710646.982 	2421387.877 	000.773 	000.577 	000.333 	000.111 	000.037
area 	1081 	3 	1081 	3 	2000.000 	1810.656 	189.344 	000.095 	3135931.278 	77257.627 	3058673.651 	000.975 	000.577 	000.333 	000.111 	000.037
diameter 	1081 	4 	1081 	4 	2000.000 	1999.822 	000.178 	000.000 	3137250.643 	1332018.207 	1805232.436 	000.575 	000.500 	000.250 	000.063 	000.016
area 	1081 	4 	1081 	4 	2000.000 	1967.583 	032.417 	000.016 	3137869.399 	1026294.079 	2111575.319 	000.673 	000.500 	000.250 	000.063 	000.016
diameter 	1081 	5 	1081 	5 	2000.000 	1970.452 	029.548 	000.015 	3136164.267 	1420255.492 	1715908.775 	000.547 	000.447 	000.200 	000.040 	000.008
area 	1081 	5 	1081 	5 	2000.000 	1969.978 	030.022 	000.015 	3139767.812 	1433512.465 	1706255.347 	000.543 	000.447 	000.200 	000.040 	000.008
diameter 	1081 	6 	1081 	6 	2000.000 	1984.518 	015.482 	000.008 	3135125.352 	1933715.066 	1201410.286 	000.383 	000.408 	000.167 	000.028 	000.005
area 	1081 	6 	1081 	6 	2000.000 	1994.195 	005.805 	000.003 	3135174.444 	1799718.291 	1335456.153 	000.426 	000.408 	000.167 	000.028 	000.005
diameter 	1297 	3 	1297 	3 	2000.000 	1996.742 	003.258 	000.002 	3141476.498 	526681.461 	2614795.037 	000.832 	000.577 	000.333 	000.111 	000.037
area 	1297 	3 	1297 	3 	2000.000 	1986.847 	013.153 	000.007 	3131205.161 	332135.915 	2799069.246 	000.894 	000.577 	000.333 	000.111 	000.037
diameter 	1297 	4 	1297 	4 	2000.000 	1995.647 	004.353 	000.002 	3141097.017 	1069890.216 	2071206.801 	000.659 	000.500 	000.250 	000.063 	000.016
area 	1297 	4 	1297 	4 	2000.000 	1997.593 	002.407 	000.001 	3141433.526 	1001672.674 	2139760.852 	000.681 	000.500 	000.250 	000.063 	000.016
diameter 	1297 	5 	1297 	5 	2000.000 	1997.138 	002.862 	000.001 	3141325.081 	1659609.324 	1481715.757 	000.472 	000.447 	000.200 	000.040 	000.008
area 	1297 	5 	1297 	5 	2000.000 	1956.314 	043.686 	000.022 	3139139.521 	1520062.695 	1619076.826 	000.516 	000.447 	000.200 	000.040 	000.008
diameter 	1297 	6 	1297 	6 	2000.000 	1995.898 	004.102 	000.002 	3135294.148 	2189822.193 	945471.955 	000.302 	000.408 	000.167 	000.028 	000.005
area 	1297 	6 	1297 	6 	2000.000 	1994.360 	005.640 	000.003 	3141125.759 	1912241.361 	1228884.398 	000.391 	000.408 	000.167 	000.028 	000.005
diameter 	1297 	7 	1297 	7 	2000.000 	1999.211 	000.789 	000.000 	3139592.014 	2169267.367 	970324.646 	000.309 	000.378 	000.143 	000.020 	000.003
area 	1297 	7 	1297 	7 	2000.000 	1999.998 	000.002 	000.000 	3139297.930 	2178860.584 	960437.346 	000.306 	000.378 	000.143 	000.020 	000.003
diameter 	1297 	3 	1297 	3 	2000.000 	1773.479 	226.521 	000.113 	3139945.010 	862640.477 	2277304.533 	000.725 	000.577 	000.333 	000.111 	000.037
area 	1297 	3 	1297 	3 	2000.000 	1792.878 	207.122 	000.104 	3128818.785 	896392.637 	2232426.148 	000.714 	000.577 	000.333 	000.111 	000.037
diameter 	1297 	4 	1297 	4 	2000.000 	1985.126 	014.874 	000.007 	3140212.051 	1292693.279 	1847518.771 	000.588 	000.500 	000.250 	000.063 	000.016
area 	1297 	4 	1297 	4 	2000.000 	1983.523 	016.477 	000.008 	3139002.100 	1170623.162 	1968378.938 	000.627 	000.500 	000.250 	000.063 	000.016
diameter 	1297 	5 	1297 	5 	2000.000 	1969.130 	030.870 	000.015 	3141363.714 	957323.480 	2184040.234 	000.695 	000.447 	000.200 	000.040 	000.008
area 	1297 	5 	1297 	5 	2000.000 	1962.680 	037.320 	000.019 	3136731.754 	1585233.636 	1551498.118 	000.495 	000.447 	000.200 	000.040 	000.008
diameter 	1297 	6 	1297 	6 	2000.000 	1994.378 	005.622 	000.003 	3138715.929 	1843235.771 	1295480.158 	000.413 	000.408 	000.167 	000.028 	000.005
area 	1297 	6 	1297 	6 	2000.000 	1982.118 	017.882 	000.009 	3135427.872 	1998254.999 	1137172.872 	000.363 	000.408 	000.167 	000.028 	000.005
diameter 	1297 	7 	1297 	7 	2000.000 	1999.940 	000.060 	000.000 	3140844.011 	2079648.677 	1061195.334 	000.338 	000.378 	000.143 	000.020 	000.003
area 	1297 	7 	1297 	7 	2000.000 	1997.194 	002.806 	000.001 	3139872.353 	1385515.639 	1754356.715 	000.559 	000.378 	000.143 	000.020 	000.003
diameter 	1297 	3 	1297 	3 	2000.000 	1872.299 	127.701 	000.064 	3138620.592 	800470.693 	2338149.899 	000.745 	000.577 	000.333 	000.111 	000.037
area 	1297 	3 	1297 	3 	2000.000 	1965.476 	034.524 	000.017 	3138036.130 	747813.594 	2390222.536 	000.762 	000.577 	000.333 	000.111 	000.037
diameter 	1297 	4 	1297 	4 	2000.000 	1770.405 	229.595 	000.115 	3135203.221 	979104.773 	2156098.448 	000.688 	000.500 	000.250 	000.063 	000.016
area 	1297 	4 	1297 	4 	2000.000 	1970.690 	029.310 	000.015 	3136513.875 	1017013.632 	2119500.243 	000.676 	000.500 	000.250 	000.063 	000.016
diameter 	1297 	5 	1297 	5 	2000.000 	1980.467 	019.533 	000.010 	3140989.793 	797075.509 	2343914.284 	000.746 	000.447 	000.200 	000.040 	000.008
area 	1297 	5 	1297 	5 	2000.000 	1998.849 	001.151 	000.001 	3140821.509 	1652882.630 	1487938.879 	000.474 	000.447 	000.200 	000.040 	000.008
diameter 	1297 	6 	1297 	6 	2000.000 	1987.937 	012.063 	000.006 	3140221.358 	1663856.279 	1476365.079 	000.470 	000.408 	000.167 	000.028 	000.005
area 	1297 	6 	1296 	6 	2000.000 	1996.435 	003.565 	000.002 	3136036.565 	1565014.896 	1571021.669 	000.501 	000.408 	000.167 	000.028 	000.005
diameter 	1297 	7 	1297 	7 	2000.000 	1998.974 	001.026 	000.001 	3137634.346 	1973135.555 	1164498.792 	000.371 	000.378 	000.143 	000.020 	000.003
area 	1297 	7 	1297 	7 	2000.000 	1996.383 	003.617 	000.002 	3134080.783 	2102994.121 	1031086.662 	000.329 	000.378 	000.143 	000.020 	000.003
diameter 	1556 	3 	1556 	3 	2000.000 	1926.215 	073.785 	000.037 	3139572.188 	944841.796 	2194730.392 	000.699 	000.577 	000.333 	000.111 	000.037
area 	1556 	3 	1556 	3 	2000.000 	1937.294 	062.706 	000.031 	3141144.526 	664776.852 	2476367.674 	000.788 	000.577 	000.333 	000.111 	000.037
diameter 	1556 	4 	1556 	4 	2000.000 	1955.708 	044.292 	000.022 	3135049.048 	1350746.585 	1784302.463 	000.569 	000.500 	000.250 	000.063 	000.016
area 	1556 	4 	1556 	4 	2000.000 	1992.974 	007.026 	000.004 	3140037.871 	1491655.915 	1648381.956 	000.525 	000.500 	000.250 	000.063 	000.016
diameter 	1556 	5 	1556 	5 	2000.000 	2000.000 	000.000 	000.000 	3140505.289 	1601168.349 	1539336.941 	000.490 	000.447 	000.200 	000.040 	000.008
area 	1556 	5 	1556 	5 	2000.000 	1997.542 	002.458 	000.001 	3139477.671 	1522473.296 	1617004.375 	000.515 	000.447 	000.200 	000.040 	000.008
diameter 	1556 	6 	1556 	6 	2000.000 	1999.950 	000.050 	000.000 	3130454.528 	1667348.247 	1463106.280 	000.467 	000.408 	000.167 	000.028 	000.005
area 	1556 	6 	1556 	6 	2000.000 	1976.554 	023.446 	000.012 	3140890.137 	2049634.616 	1091255.521 	000.347 	000.408 	000.167 	000.028 	000.005
diameter 	1556 	7 	1556 	7 	2000.000 	1995.090 	004.910 	000.002 	3137730.759 	2226758.947 	910971.812 	000.290 	000.378 	000.143 	000.020 	000.003
area 	1556 	7 	1556 	7 	2000.000 	1995.812 	004.188 	000.002 	3140324.067 	2120496.202 	1019827.865 	000.325 	000.378 	000.143 	000.020 	000.003
diameter 	1556 	3 	1556 	3 	2000.000 	1915.980 	084.020 	000.042 	3136367.336 	628816.732 	2507550.604 	000.800 	000.577 	000.333 	000.111 	000.037
area 	1556 	3 	1556 	3 	2000.000 	1336.694 	663.306 	000.332 	3138918.066 	641872.169 	2497045.897 	000.796 	000.577 	000.333 	000.111 	000.037
diameter 	1556 	4 	1556 	4 	2000.000 	1974.279 	025.721 	000.013 	3132157.164 	957404.625 	2174752.538 	000.694 	000.500 	000.250 	000.063 	000.016
area 	1556 	4 	1556 	4 	2000.000 	1994.534 	005.466 	000.003 	3139477.341 	1410018.994 	1729458.347 	000.551 	000.500 	000.250 	000.063 	000.016
diameter 	1556 	5 	1556 	5 	2000.000 	1999.570 	000.430 	000.000 	3137609.629 	717472.830 	2420136.800 	000.771 	000.447 	000.200 	000.040 	000.008
area 	1556 	5 	1556 	5 	2000.000 	1999.979 	000.021 	000.000 	3134483.079 	1542595.672 	1591887.407 	000.508 	000.447 	000.200 	000.040 	000.008
diameter 	1556 	6 	1556 	6 	2000.000 	1952.463 	047.537 	000.024 	3141027.185 	1562920.786 	1578106.400 	000.502 	000.408 	000.167 	000.028 	000.005
area 	1556 	6 	1556 	6 	2000.000 	1993.838 	006.162 	000.003 	3136172.078 	1716568.944 	1419603.134 	000.453 	000.408 	000.167 	000.028 	000.005
diameter 	1556 	7 	1556 	7 	2000.000 	1997.499 	002.501 	000.001 	3133761.809 	2359683.435 	774078.374 	000.247 	000.378 	000.143 	000.020 	000.003
area 	1556 	7 	1556 	7 	2000.000 	1999.678 	000.322 	000.000 	3137911.362 	1779405.800 	1358505.562 	000.433 	000.378 	000.143 	000.020 	000.003
diameter 	1556 	3 	1556 	3 	2000.000 	1896.163 	103.837 	000.052 	3139191.868 	919054.201 	2220137.668 	000.707 	000.577 	000.333 	000.111 	000.037
area 	1556 	3 	1556 	3 	2000.000 	1868.829 	131.171 	000.066 	3140501.955 	799762.381 	2340739.574 	000.745 	000.577 	000.333 	000.111 	000.037
diameter 	1556 	4 	1556 	4 	2000.000 	1989.841 	010.159 	000.005 	3140610.947 	460371.427 	2680239.520 	000.853 	000.500 	000.250 	000.063 	000.016
area 	1556 	4 	1556 	4 	2000.000 	1987.050 	012.950 	000.006 	3140525.002 	1307064.336 	1833460.666 	000.584 	000.500 	000.250 	000.063 	000.016
diameter 	1556 	5 	1556 	5 	2000.000 	1994.158 	005.842 	000.003 	3132381.956 	1759424.121 	1372957.834 	000.438 	000.447 	000.200 	000.040 	000.008
area 	1556 	5 	1556 	5 	2000.000 	1998.912 	001.088 	000.001 	3141340.959 	1673608.038 	1467732.921 	000.467 	000.447 	000.200 	000.040 	000.008
diameter 	1556 	6 	1556 	6 	2000.000 	1991.753 	008.247 	000.004 	3135404.750 	1943346.794 	1192057.955 	000.380 	000.408 	000.167 	000.028 	000.005
area 	1556 	6 	1556 	6 	2000.000 	1998.920 	001.080 	000.001 	3134836.774 	1690617.221 	1444219.553 	000.461 	000.408 	000.167 	000.028 	000.005
diameter 	1556 	7 	1556 	7 	2000.000 	1999.290 	000.710 	000.000 	3141471.342 	2436017.693 	705453.649 	000.225 	000.378 	000.143 	000.020 	000.003
area 	1556 	7 	1556 	7 	2000.000 	1999.038 	000.962 	000.000 	3137303.357 	2442847.510 	694455.847 	000.221 	000.378 	000.143 	000.020 	000.003
diameter 	1867 	3 	1867 	3 	2000.000 	1988.542 	011.458 	000.006 	3140968.039 	196053.026 	2944915.014 	000.938 	000.577 	000.333 	000.111 	000.037
area 	1867 	3 	1867 	3 	2000.000 	1864.838 	135.162 	000.068 	3137212.144 	932409.327 	2204802.817 	000.703 	000.577 	000.333 	000.111 	000.037
diameter 	1867 	4 	1867 	4 	2000.000 	1975.820 	024.180 	000.012 	3140011.076 	1249776.953 	1890234.123 	000.602 	000.500 	000.250 	000.063 	000.016
area 	1867 	4 	1867 	4 	2000.000 	1971.249 	028.751 	000.014 	3137963.439 	786048.132 	2351915.307 	000.750 	000.500 	000.250 	000.063 	000.016
diameter 	1867 	5 	1867 	5 	2000.000 	1979.880 	020.120 	000.010 	3141550.461 	1704405.242 	1437145.219 	000.457 	000.447 	000.200 	000.040 	000.008
area 	1867 	5 	1867 	5 	2000.000 	1979.800 	020.200 	000.010 	3140113.827 	1894744.059 	1245369.768 	000.397 	000.447 	000.200 	000.040 	000.008
diameter 	1867 	6 	1867 	6 	2000.000 	1998.734 	001.266 	000.001 	3139679.807 	1847484.703 	1292195.104 	000.412 	000.408 	000.167 	000.028 	000.005
area 	1867 	6 	1867 	6 	2000.000 	1999.849 	000.151 	000.000 	3140715.241 	2104118.793 	1036596.448 	000.330 	000.408 	000.167 	000.028 	000.005
diameter 	1867 	7 	1867 	7 	2000.000 	1998.355 	001.645 	000.001 	3140926.230 	2161528.658 	979397.572 	000.312 	000.378 	000.143 	000.020 	000.003
area 	1867 	7 	1866 	7 	2000.000 	1998.886 	001.114 	000.001 	3141068.784 	1945485.162 	1195583.622 	000.381 	000.378 	000.143 	000.020 	000.003
diameter 	1867 	3 	1867 	3 	2000.000 	1807.740 	192.260 	000.096 	3140436.990 	774155.675 	2366281.314 	000.753 	000.577 	000.333 	000.111 	000.037
area 	1867 	3 	1867 	3 	2000.000 	1806.572 	193.428 	000.097 	3140424.569 	903204.994 	2237219.576 	000.712 	000.577 	000.333 	000.111 	000.037
diameter 	1867 	4 	1867 	4 	2000.000 	1956.818 	043.182 	000.022 	3139263.649 	1368154.759 	1771108.891 	000.564 	000.500 	000.250 	000.063 	000.016
area 	1867 	4 	1867 	4 	2000.000 	1988.231 	011.769 	000.006 	3140654.602 	1083172.329 	2057482.273 	000.655 	000.500 	000.250 	000.063 	000.016
diameter 	1867 	5 	1867 	5 	2000.000 	1999.919 	000.081 	000.000 	3140612.926 	1723875.443 	1416737.483 	000.451 	000.447 	000.200 	000.040 	000.008
area 	1867 	5 	1867 	5 	2000.000 	1987.018 	012.982 	000.006 	3140895.403 	1532174.657 	1608720.746 	000.512 	000.447 	000.200 	000.040 	000.008
diameter 	1867 	6 	1867 	6 	2000.000 	1988.332 	011.668 	000.006 	3141331.293 	2018131.994 	1123199.299 	000.358 	000.408 	000.167 	000.028 	000.005
area 	1867 	6 	1867 	6 	2000.000 	1998.199 	001.801 	000.001 	3139554.067 	1874608.469 	1264945.598 	000.403 	000.408 	000.167 	000.028 	000.005
diameter 	1867 	7 	1867 	7 	2000.000 	1995.858 	004.142 	000.002 	3140045.513 	2230606.093 	909439.419 	000.290 	000.378 	000.143 	000.020 	000.003
area 	1867 	7 	1865 	7 	2000.000 	2000.000 	000.000 	000.000 	3140422.243 	2261953.903 	878468.340 	000.280 	000.378 	000.143 	000.020 	000.003
diameter 	1867 	3 	1867 	3 	2000.000 	1894.909 	105.091 	000.053 	3140834.223 	755459.638 	2385374.585 	000.759 	000.577 	000.333 	000.111 	000.037
area 	1867 	3 	1867 	3 	2000.000 	1848.505 	151.495 	000.076 	3140316.352 	905189.482 	2235126.870 	000.712 	000.577 	000.333 	000.111 	000.037
diameter 	1867 	4 	1867 	4 	2000.000 	1959.389 	040.611 	000.020 	3136590.831 	1327331.373 	1809259.457 	000.577 	000.500 	000.250 	000.063 	000.016
area 	1867 	4 	1867 	4 	2000.000 	1966.689 	033.311 	000.017 	3140548.626 	1151940.881 	1988607.746 	000.633 	000.500 	000.250 	000.063 	000.016
diameter 	1867 	5 	1867 	5 	2000.000 	1990.080 	009.920 	000.005 	3140956.270 	1833844.809 	1307111.461 	000.416 	000.447 	000.200 	000.040 	000.008
area 	1867 	5 	1867 	5 	2000.000 	1992.586 	007.414 	000.004 	3141521.327 	1711519.382 	1430001.946 	000.455 	000.447 	000.200 	000.040 	000.008
diameter 	1867 	6 	1867 	6 	2000.000 	1971.589 	028.411 	000.014 	3137409.363 	2009858.899 	1127550.464 	000.359 	000.408 	000.167 	000.028 	000.005
area 	1867 	6 	1867 	6 	2000.000 	1991.874 	008.126 	000.004 	3139119.734 	1771506.368 	1367613.366 	000.436 	000.408 	000.167 	000.028 	000.005
diameter 	1867 	7 	1867 	7 	2000.000 	1994.330 	005.670 	000.003 	3139633.087 	2120453.697 	1019179.390 	000.325 	000.378 	000.143 	000.020 	000.003
area 	1867 	7 	1867 	7 	2000.000 	1999.984 	000.016 	000.000 	3140987.312 	1820391.016 	1320596.296 	000.420 	000.378 	000.143 	000.020 	000.003
diameter 	2240 	3 	2240 	3 	2000.000 	1998.421 	001.579 	000.001 	3138968.364 	700623.769 	2438344.595 	000.777 	000.577 	000.333 	000.111 	000.037
area 	2240 	3 	2240 	3 	2000.000 	1999.705 	000.295 	000.000 	3138182.052 	998681.363 	2139500.689 	000.682 	000.577 	000.333 	000.111 	000.037
diameter 	2240 	4 	2240 	4 	2000.000 	1869.211 	130.789 	000.065 	3139975.632 	1048082.687 	2091892.945 	000.666 	000.500 	000.250 	000.063 	000.016
area 	2240 	4 	2240 	4 	2000.000 	1979.793 	020.207 	000.010 	3140020.576 	1151342.450 	1988678.126 	000.633 	000.500 	000.250 	000.063 	000.016
diameter 	2240 	5 	2240 	5 	2000.000 	1992.491 	007.509 	000.004 	3138166.123 	1500348.085 	1637818.039 	000.522 	000.447 	000.200 	000.040 	000.008
area 	2240 	5 	2240 	5 	2000.000 	1999.843 	000.157 	000.000 	3134961.947 	1545861.956 	1589099.991 	000.507 	000.447 	000.200 	000.040 	000.008
diameter 	2240 	6 	2239 	6 	2000.000 	1984.403 	015.597 	000.008 	3139941.681 	1946976.644 	1192965.037 	000.380 	000.408 	000.167 	000.028 	000.005
area 	2240 	6 	2240 	6 	2000.000 	1997.184 	002.816 	000.001 	3139978.149 	1700926.984 	1439051.165 	000.458 	000.408 	000.167 	000.028 	000.005
diameter 	2240 	7 	2240 	7 	2000.000 	1998.687 	001.313 	000.001 	3140146.034 	2108711.947 	1031434.087 	000.328 	000.378 	000.143 	000.020 	000.003
area 	2240 	7 	2239 	7 	2000.000 	1992.293 	007.707 	000.004 	3139797.589 	1862333.485 	1277464.103 	000.407 	000.378 	000.143 	000.020 	000.003
diameter 	2240 	3 	2240 	3 	2000.000 	1839.135 	160.865 	000.080 	3140211.167 	808201.161 	2332010.006 	000.743 	000.577 	000.333 	000.111 	000.037
area 	2240 	3 	2240 	3 	2000.000 	1992.410 	007.590 	000.004 	3136345.091 	293493.855 	2842851.236 	000.906 	000.577 	000.333 	000.111 	000.037
diameter 	2240 	4 	2240 	4 	2000.000 	1998.933 	001.067 	000.001 	3134997.113 	889368.186 	2245628.927 	000.716 	000.500 	000.250 	000.063 	000.016
area 	2240 	4 	2240 	4 	2000.000 	1999.548 	000.452 	000.000 	3140355.497 	1271287.079 	1869068.418 	000.595 	000.500 	000.250 	000.063 	000.016
diameter 	2240 	5 	2240 	5 	2000.000 	1954.422 	045.578 	000.023 	3141376.862 	1854458.640 	1286918.223 	000.410 	000.447 	000.200 	000.040 	000.008
area 	2240 	5 	2240 	5 	2000.000 	1973.857 	026.143 	000.013 	3140586.567 	1849322.586 	1291263.981 	000.411 	000.447 	000.200 	000.040 	000.008
diameter 	2240 	6 	2240 	6 	2000.000 	1996.396 	003.604 	000.002 	3140173.297 	1667328.673 	1472844.624 	000.469 	000.408 	000.167 	000.028 	000.005
area 	2240 	6 	2240 	6 	2000.000 	1982.077 	017.923 	000.009 	3136682.347 	2054247.968 	1082434.379 	000.345 	000.408 	000.167 	000.028 	000.005
diameter 	2240 	7 	2240 	7 	2000.000 	1999.111 	000.889 	000.000 	3141410.992 	2150370.904 	991040.088 	000.315 	000.378 	000.143 	000.020 	000.003
area 	2240 	7 	2240 	7 	2000.000 	1981.681 	018.319 	000.009 	3137983.068 	1965069.745 	1172913.323 	000.374 	000.378 	000.143 	000.020 	000.003
diameter 	2240 	3 	2240 	3 	2000.000 	1819.112 	180.888 	000.090 	3135101.581 	878845.511 	2256256.070 	000.720 	000.577 	000.333 	000.111 	000.037
area 	2240 	3 	2240 	3 	2000.000 	1191.637 	808.363 	000.404 	3138171.572 	549133.229 	2589038.344 	000.825 	000.577 	000.333 	000.111 	000.037
diameter 	2240 	4 	2240 	4 	2000.000 	1888.990 	111.010 	000.056 	3139518.538 	1349133.961 	1790384.577 	000.570 	000.500 	000.250 	000.063 	000.016
area 	2240 	4 	2240 	4 	2000.000 	1999.904 	000.096 	000.000 	3140667.441 	735824.910 	2404842.531 	000.766 	000.500 	000.250 	000.063 	000.016
diameter 	2240 	5 	2239 	5 	2000.000 	1993.551 	006.449 	000.003 	3138069.985 	1829177.334 	1308892.651 	000.417 	000.447 	000.200 	000.040 	000.008
area 	2240 	5 	2240 	5 	2000.000 	1999.672 	000.328 	000.000 	3140445.720 	1656589.022 	1483856.698 	000.472 	000.447 	000.200 	000.040 	000.008
diameter 	2240 	6 	2240 	6 	2000.000 	1996.148 	003.852 	000.002 	3141432.732 	1870341.020 	1271091.712 	000.405 	000.408 	000.167 	000.028 	000.005
area 	2240 	6 	2240 	6 	2000.000 	1999.901 	000.099 	000.000 	3141530.395 	2187501.480 	954028.916 	000.304 	000.408 	000.167 	000.028 	000.005
diameter 	2240 	7 	2240 	7 	2000.000 	1996.282 	003.718 	000.002 	3140239.401 	1743143.930 	1397095.471 	000.445 	000.378 	000.143 	000.020 	000.003
area 	2240 	7 	2240 	7 	2000.000 	1979.255 	020.745 	000.010 	3139614.551 	2119736.729 	1019877.822 	000.325 	000.378 	000.143 	000.020 	000.003
diameter 	2688 	3 	2688 	3 	2000.000 	1934.957 	065.043 	000.033 	3136228.962 	762107.685 	2374121.276 	000.757 	000.577 	000.333 	000.111 	000.037
area 	2688 	3 	2687 	3 	2000.000 	1895.786 	104.214 	000.052 	3140027.485 	795854.297 	2344173.187 	000.747 	000.577 	000.333 	000.111 	000.037
diameter 	2688 	4 	2688 	4 	2000.000 	1993.913 	006.087 	000.003 	3140076.474 	1085236.887 	2054839.587 	000.654 	000.500 	000.250 	000.063 	000.016
area 	2688 	4 	2688 	4 	2000.000 	1997.137 	002.863 	000.001 	3140840.349 	1375103.577 	1765736.772 	000.562 	000.500 	000.250 	000.063 	000.016
diameter 	2688 	5 	2688 	5 	2000.000 	1997.153 	002.847 	000.001 	3140185.621 	1718580.757 	1421604.864 	000.453 	000.447 	000.200 	000.040 	000.008
area 	2688 	5 	2688 	5 	2000.000 	1951.420 	048.580 	000.024 	3139769.762 	1492688.094 	1647081.669 	000.525 	000.447 	000.200 	000.040 	000.008
diameter 	2688 	6 	2688 	6 	2000.000 	1994.578 	005.422 	000.003 	3141404.690 	1762271.222 	1379133.468 	000.439 	000.408 	000.167 	000.028 	000.005
area 	2688 	6 	2688 	6 	2000.000 	1991.255 	008.745 	000.004 	3141454.108 	1485387.525 	1656066.583 	000.527 	000.408 	000.167 	000.028 	000.005
diameter 	2688 	7 	2688 	7 	2000.000 	1998.301 	001.699 	000.001 	3141070.565 	2093410.472 	1047660.092 	000.334 	000.378 	000.143 	000.020 	000.003
area 	2688 	7 	2688 	7 	2000.000 	1988.288 	011.712 	000.006 	3138073.810 	2186025.759 	952048.050 	000.303 	000.378 	000.143 	000.020 	000.003
diameter 	2688 	3 	2688 	3 	2000.000 	1434.874 	565.126 	000.283 	3138544.814 	648102.751 	2490442.063 	000.794 	000.577 	000.333 	000.111 	000.037
area 	2688 	3 	2688 	3 	2000.000 	1828.636 	171.364 	000.086 	3140671.240 	97255.923 	3043415.317 	000.969 	000.577 	000.333 	000.111 	000.037
diameter 	2688 	4 	2688 	4 	2000.000 	1931.940 	068.060 	000.034 	3141122.922 	1283946.393 	1857176.530 	000.591 	000.500 	000.250 	000.063 	000.016
area 	2688 	4 	2688 	4 	2000.000 	1998.030 	001.970 	000.001 	3141297.919 	1384748.971 	1756548.948 	000.559 	000.500 	000.250 	000.063 	000.016
diameter 	2688 	5 	2688 	5 	2000.000 	1994.805 	005.195 	000.003 	3140268.450 	1474384.853 	1665883.597 	000.530 	000.447 	000.200 	000.040 	000.008
area 	2688 	5 	2688 	5 	2000.000 	1999.196 	000.804 	000.000 	3141350.070 	1608455.604 	1532894.466 	000.488 	000.447 	000.200 	000.040 	000.008
diameter 	2688 	6 	2688 	6 	2000.000 	1992.364 	007.636 	000.004 	3140450.098 	1475976.335 	1664473.763 	000.530 	000.408 	000.167 	000.028 	000.005
area 	2688 	6 	2687 	6 	2000.000 	1999.214 	000.786 	000.000 	3137680.258 	1628283.652 	1509396.606 	000.481 	000.408 	000.167 	000.028 	000.005
diameter 	2688 	7 	2688 	7 	2000.000 	1996.593 	003.407 	000.002 	3141074.887 	2467686.125 	673388.762 	000.214 	000.378 	000.143 	000.020 	000.003
area 	2688 	7 	2687 	7 	2000.000 	1994.727 	005.273 	000.003 	3140925.708 	1814919.986 	1326005.722 	000.422 	000.378 	000.143 	000.020 	000.003
diameter 	2688 	3 	2688 	3 	2000.000 	1961.210 	038.790 	000.019 	3141403.507 	588287.373 	2553116.134 	000.813 	000.577 	000.333 	000.111 	000.037
area 	2688 	3 	2686 	3 	2000.000 	1940.930 	059.070 	000.030 	3132149.125 	894390.844 	2237758.281 	000.714 	000.577 	000.333 	000.111 	000.037
diameter 	2688 	4 	2688 	4 	2000.000 	1997.960 	002.040 	000.001 	3141390.297 	649118.352 	2492271.944 	000.793 	000.500 	000.250 	000.063 	000.016
area 	2688 	4 	2688 	4 	2000.000 	1998.101 	001.899 	000.001 	3139858.053 	1285744.897 	1854113.156 	000.591 	000.500 	000.250 	000.063 	000.016
diameter 	2688 	5 	2688 	5 	2000.000 	1994.400 	005.600 	000.003 	3140547.224 	1848729.631 	1291817.594 	000.411 	000.447 	000.200 	000.040 	000.008
area 	2688 	5 	2688 	5 	2000.000 	1999.848 	000.152 	000.000 	3139177.762 	1798919.777 	1340257.985 	000.427 	000.447 	000.200 	000.040 	000.008
diameter 	2688 	6 	2688 	6 	2000.000 	1997.606 	002.394 	000.001 	3141049.387 	1472386.763 	1668662.625 	000.531 	000.408 	000.167 	000.028 	000.005
area 	2688 	6 	2687 	6 	2000.000 	1990.105 	009.895 	000.005 	3140212.794 	1656282.578 	1483930.216 	000.473 	000.408 	000.167 	000.028 	000.005
diameter 	2688 	7 	2688 	7 	2000.000 	1996.770 	003.230 	000.002 	3140386.100 	1919080.426 	1221305.675 	000.389 	000.378 	000.143 	000.020 	000.003
area 	2688 	7 	2688 	7 	2000.000 	1997.811 	002.189 	000.001 	3139020.202 	2122727.569 	1016292.633 	000.324 	000.378 	000.143 	000.020 	000.003
diameter 	3225 	3 	3225 	3 	2000.000 	1919.811 	080.189 	000.040 	3141502.536 	63189.806 	3078312.730 	000.980 	000.577 	000.333 	000.111 	000.037
area 	3225 	3 	3224 	3 	2000.000 	1884.776 	115.224 	000.058 	3140119.139 	715767.293 	2424351.846 	000.772 	000.577 	000.333 	000.111 	000.037
diameter 	3225 	4 	3225 	4 	2000.000 	1999.969 	000.031 	000.000 	3139997.009 	1224361.713 	1915635.296 	000.610 	000.500 	000.250 	000.063 	000.016
area 	3225 	4 	3225 	4 	2000.000 	1837.765 	162.235 	000.081 	3140458.271 	1065270.882 	2075187.389 	000.661 	000.500 	000.250 	000.063 	000.016
